longitudine,latitudine
7.6736264,45.03186
9.1807709,45.474072
8.1999788,44.899418
10.447233,46.247318
8.9220552,44.415573
7.5603752,45.749294
7.88622,43.851101
10.343178,45.494373
8.8313885,45.949902
8.7978411,45.654221
9.9640093,44.111179
8.618187,44.403339
7.7144866,45.93362
7.3310184,44.887047
8.6187296,44.90144
8.2909412,46.11665
7.7619686,45.03978
8.0592537,44.630051
8.8705826,45.875938
7.6795511,45.074203
8.278059,45.716366
9.6737223,45.700413
7.7607613,44.423279
9.0503044,44.705322
7.0070171,44.579479
8.9278545,44.408501
9.2745523,45.582771
8.0666456,44.835857
8.9945679,44.394455
8.9035521,45.822186
7.35917,45.60701
6.8835354,45.072292
7.8295894,45.77132
9.5878878,46.151939
9.2959471,45.074894
7.6894774,45.067333
8.2564058,45.818279
9.1887522,45.472015
9.1228094,45.476593
7.6683459,45.076973
7.8216925,45.01289
7.8685679,43.96209
9.4039888,45.66703
10.346639,46.029861
8.0885773,44.467514
8.822011,45.902447
7.6252599,43.8507
8.9007292,44.458252
8.2353449,44.367538
8.2008381,44.899712
10.3732,45.752506
8.4505033,45.131607
9.6823025,45.68166
7.3252678,45.825321
8.4645329,44.298386
9.0558224,45.767216
9.8742304,46.170918
7.9950666,44.653164
7.6676588,45.071358
8.9317932,44.411297
10.184792,45.687756
7.5515046,44.327663
7.2437096,44.923454
10.579661,45.199902
8.0345201,44.73843
8.0002861,44.610737
8.8664312,45.754803
10.799105,45.159729
7.7818098,45.222401
9.5627384,46.133015
7.1231203,45.57909
7.8689804,44.985622
7.8224025,44.389362
7.6857071,45.09219
7.2698612,44.865643
9.831789,45.869724
7.6932321,45.066334
7.2447801,44.924683
10.220094,45.945087
11.127581,45.057892
8.42311,45.329823
8.3461123,44.171757
10.786928,45.150276
10.219549,45.542263
8.7688131,44.457111
7.3221545,45.737659
8.0349703,44.699284
9.2603579,44.451221
9.4936085,45.306145
9.1904774,45.467266
10.393765,45.411446
7.365108,45.74065
7.6801543,45.074661
10.376239,46.469482
8.8066378,44.691658
7.702055,45.054398
9.2114916,45.478912
7.547461,44.391373
7.691678,45.068573
7.3065925,45.116661
10.212199,45.608696
9.09583,45.340652
8.7786961,44.763977
8.8924875,44.506824
6.9544692,44.359531
9.5044346,45.730808
7.3430972,45.097912
7.3132343,45.453693
7.3122039,45.73494
7.8343067,44.545879
9.4891195,45.303871
8.9319601,44.404373
7.6750832,45.077301
8.5022125,44.327755
9.1188984,45.679497
10.266933,45.7183
8.247942,45.815887
9.2498007,44.526215
7.2325101,45.432568
8.931776,44.411423
7.7927737,43.821289
8.9304895,44.410744
7.2222366,45.676716
8.5712738,45.774124
9.9282684,45.535057
7.6787915,45.06987
8.8152027,44.428391
7.3498902,44.93409
8.7365999,45.0966
10.416285,44.985733
7.5048475,45.303123
7.3299122,44.886612
10.158159,46.008675
9.4208984,46.330097
7.6774111,44.324646
9.4618874,45.801456
8.6319399,45.724022
7.6887126,45.067921
10.390081,45.412437
7.7740154,44.289474
8.1051102,45.613384
9.9325113,45.938038
10.226179,45.541275
8.3648634,45.869148
8.9346638,44.407719
10.202477,45.645515
7.7654095,43.992893
9.0459099,45.986351
9.1813536,45.46088
10.793965,45.153599
7.6783094,45.073685
10.22629,45.539776
9.9635439,44.111401
10.475509,45.297504
9.0221634,44.584805
7.9001985,44.862408
8.4822311,44.308064
7.7179079,44.844769
9.1616268,45.45155
8.9261293,44.414864
9.6017618,45.284222
7.3171463,44.64851
8.0983896,45.581512
7.0898595,44.539902
7.9813495,45.626141
8.2003202,44.899319
7.6724381,43.780758
9.2178679,44.562431
7.8549886,45.685101
7.4729166,45.280495
8.6786442,45.875469
8.8475113,44.424004
7.9761901,45.573547
8.2140932,44.047962
8.0241022,45.482662
7.8675656,45.035458
9.6542873,45.892918
8.8023252,45.828972
9.730341,45.733501
8.4260807,46.37727
9.345047,44.309765
10.722661,45.738323
7.6519699,45.05695
9.1916714,45.468189
8.005394,44.82719
7.9576359,45.508656
10.543962,45.468292
10.02318,45.13129
9.1851425,45.463463
9.2680464,45.923973
7.1890974,44.909142
10.228556,45.539322
8.8252907,45.815823
10.073009,45.814789
8.4578924,44.990284
9.8877945,45.799282
9.1863518,44.562443
9.0752306,45.814259
7.327714,44.886536
9.8183441,44.202858
8.8917999,45.888409
8.8460617,45.617737
8.2101517,44.125282
7.0313492,44.964626
9.769927,45.889904
10.487116,45.390659
7.6925631,45.080784
9.2022419,45.468891
7.9976721,45.885704
7.5342417,43.78381
7.4595575,45.417183
8.7478065,45.631847
9.8882236,45.872025
8.4343357,44.344864
8.0681372,44.76675
7.8334546,44.54464
6.7941666,44.952499
8.2957687,44.8158
7.8059235,44.074001
9.2844105,46.009682
8.4663944,46.135128
7.3470664,45.746841
8.204793,44.900745
7.8555546,45.536423
9.0861807,45.808666
8.8211231,45.778866
8.4840736,44.307117
9.1919441,45.463608
8.4157639,45.968636
8.2081757,44.362419
9.0448294,44.382587
8.4148998,45.900925
8.8206425,44.442127
8.3617401,44.771461
8.2039652,44.127136
7.9699016,44.36813
9.3447857,44.324558
9.0847778,45.807056
7.179636,44.482533
10.60448,45.650013
7.6855206,45.054195
9.4052343,46.323223
10.029168,45.134491
8.4484997,45.960625
8.4503784,45.737419
8.4404211,45.820248
7.32581,45.825684
8.2933302,45.807228
7.9161177,44.047543
10.352126,46.010506
8.5619678,44.689766
9.6651945,45.794136
10.389991,45.412575
9.7421827,45.377796
8.3268423,44.175396
9.1942339,45.473911
7.4867249,45.73782
7.6804624,45.072193
7.3885307,44.654678
9.6135845,44.166916
8.6764832,44.822662
9.1982498,45.591049
10.340986,46.031071
8.91325,45.600811
7.6795902,45.045906
7.9757342,44.678432
8.1128931,45.546177
9.4146175,45.639648
8.4225168,45.326614
8.6693459,44.638668
8.9825354,44.889706
9.2455883,45.975525
9.8818054,45.716602
8.6684856,46.033241
8.0408506,43.888073
10.174014,45.067791
9.916934,44.075634
8.0033388,45.513111
10.752547,44.992592
9.2625637,44.869827
8.4832821,44.305592
9.1809578,45.454067
7.7660561,43.993073
7.6922679,45.068512
9.4193106,46.053703
7.3369875,44.886337
10.618386,45.644665
8.4918566,44.478436
9.3237429,44.315895
8.4101458,45.816948
8.2328081,44.708744
9.1131001,46.092159
10.468787,46.248642
9.8634224,45.402096
7.6719918,45.073441
7.6228843,45.877422
7.8569884,44.65284
7.8291464,44.390545
7.4000702,45.350548
9.4518976,46.199699
9.1760521,45.46299
9.3320446,45.900768
9.0457392,45.98621
7.7732487,44.949604
10.226339,45.534428
7.288693,45.101395
8.0524273,45.5709
8.7911644,45.889473
7.7594852,45.059757
8.0134468,43.879696
8.8124161,45.843277
8.7984829,45.706165
6.711432,45.070988
9.595705,45.520683
7.6851082,45.07066
10.122223,45.578396
7.5945835,45.421352
7.7963014,45.335331
7.5258512,45.097954
9.9721842,44.114952
7.3345642,44.885765
9.2855606,46.009266
6.9975562,44.647648
10.520587,44.927593
9.2106581,44.331867
7.6267266,43.789326
9.39466,44.269741
8.7218895,45.841263
7.3007226,44.827694
8.7558146,45.904617
7.4873462,44.642715
9.5826292,45.735363
9.1416216,45.009956
9.8076153,45.769196
9.1915436,45.466415
8.5026274,44.332306
10.486525,45.462727
7.2252655,45.706207
8.2122011,44.048706
7.7202172,44.847164
10.370174,46.474461
8.2875557,46.105751
8.6180801,44.915981
8.9672403,44.405254
9.5924892,45.521252
9.1457186,45.475525
6.9356141,44.985851
10.56417,45.623219
